Source,Severity,Theme,Verbatim Quote
CRM Log,Medium,Complicated onboarding process,"""The setup process looks really daunting."""
CRM Log,High,Performance issues,"""We\'ve experienced slowdowns with similar cloud-based solutions."""
Contact Form,Low,Integration issues,"""The API documentation seems a bit sparse for custom integrations."""
Contact Form,Low,Integration issues,"""The API documentation seems a bit sparse for custom integrations."""
CRM Log,High,Lack of customization,"""We need more flexibility in tailoring the workflow to our operations."""
Contact Form,Medium,Complicated onboarding process,"""We don\'t have the internal resources to manage a complex onboarding."""
Support Note,Medium,Unclear value proposition,"""The benefits aren\'t clear enough for our use case."""
Contact Form,Low,Lack of features,"""Compared to other tools, your feature set feels a bit limited."""
CRM Log,Low,Lack of customization,"""Can we customize the dashboard to fit our branding?"""
CRM Log,Medium,Complicated onboarding process,"""Is there a guided onboarding or training available?"""
CRM Log,Medium,Lack of customization,"""We need more flexibility in tailoring the workflow to our operations."""
CRM Log,High,Security concerns,"""What are your data privacy and security protocols?"""
Support Note,High,Performance issues,"""We\'ve experienced slowdowns with similar cloud-based solutions."""
Contact Form,Low,Pricing too high,"""Your pricing is just too steep for our budget right now."""
Contact Form,Medium,Lack of customization,"""The reporting options seem fixed, can we create custom reports?"""
Contact Form,High,Performance issues,"""Will it scale with our growing needs without performance degradation?"""
Contact Form,Medium,Pricing too high,"""We found a competitor with similar features at a lower cost."""
Support Note,Low,Complicated onboarding process,"""Is there a guided onboarding or training available?"""
CRM Log,Medium,Lack of features,"""It doesn\'t have X feature that we desperately need."""
Support Note,Low,Competitor preference,"""We\'re currently happy with [Competitor Name]."""
CRM Log,High,Lack of customization,"""We need more flexibility in tailoring the workflow to our operations."""
Contact Form,Medium,Complicated onboarding process,"""The setup process looks really daunting."""
Contact Form,Medium,Complicated onboarding process,"""The setup process looks really daunting."""
Support Note,Low,Poor customer support,"""I\'ve heard mixed reviews about your support response times."""
Contact Form,High,Performance issues,"""We\'ve experienced slowdowns with similar cloud-based solutions."""
CRM Log,Low,Security concerns,"""Our legal team has strict requirements for data handling."""
Contact Form,High,Lack of customization,"""We need more flexibility in tailoring the workflow to our operations."""
CRM Log,Medium,Unclear value proposition,"""I\'m not entirely sure how this will solve our specific problem."""
CRM Log,Low,Pricing too high,"""We found a competitor with similar features at a lower cost."""
Contact Form,High,Complicated onboarding process,"""We don\'t have the internal resources to manage a complex onboarding."""
Contact Form,Medium,Security concerns,"""Is your platform compliant with [specific regulation]?"""
Support Note,High,Poor customer support,"""We need 24/7 support, which isn\'t offered."""
Contact Form,Medium,Poor customer support,"""I\'ve heard mixed reviews about your support response times."""
Support Note,Low,Integration issues,"""The API documentation seems a bit sparse for custom integrations."""
CRM Log,Medium,Integration issues,"""We\'ve had trouble integrating similar tools in the past."""
CRM Log,Medium,Integration issues,"""We\'ve had trouble integrating similar tools in the past."""
Contact Form,Medium,Security concerns,"""What are your data privacy and security protocols?"""
CRM Log,Low,Lack of features,"""It doesn\'t have X feature that we desperately need."""
Contact Form,High,Competitor preference,"""[Competitor Name] offers a specific benefit we value highly."""
Support Note,Medium,Integration issues,"""We\'ve had trouble integrating similar tools in the past."""
Support Note,Medium,Unclear value proposition,"""The benefits aren\'t clear enough for our use case."""
Support Note,Low,Integration issues,"""Does it integrate with our existing CRM? If not, it\'s a dealbreaker."""
Contact Form,Low,Competitor preference,"""We\'re currently happy with [Competitor Name]."""
CRM Log,High,Integration issues,"""Does it integrate with our existing CRM? If not, it\'s a dealbreaker."""
CRM Log,Medium,Lack of features,"""It doesn\'t have X feature that we desperately need."""
Contact Form,High,Unclear value proposition,"""The benefits aren\'t clear enough for our use case."""
Contact Form,Medium,Complicated onboarding process,"""We don\'t have the internal resources to manage a complex onboarding."""
Support Note,Low,Complicated onboarding process,"""Is there a guided onboarding or training available?"""
Support Note,Low,Complicated onboarding process,"""We don\'t have the internal resources to manage a complex onboarding."""
Contact Form,High,Complicated onboarding process,"""Is there a guided onboarding or training available?"""
Contact Form,High,Unclear value proposition,"""The benefits aren\'t clear enough for our use case."""
CRM Log,Medium,Security concerns,"""Is your platform compliant with [specific regulation]?"""
CRM Log,High,Complicated onboarding process,"""The setup process looks really daunting."""
CRM Log,Low,Complicated onboarding process,"""The setup process looks really daunting."""
CRM Log,High,Performance issues,"""Will it scale with our growing needs without performance degradation?"""
CRM Log,Medium,Security concerns,"""Is your platform compliant with [specific regulation]?"""
CRM Log,High,Competitor preference,"""We\'re currently happy with [Competitor Name]."""
Support Note,Low,Unclear value proposition,"""I\'m not entirely sure how this will solve our specific problem."""
Support Note,Medium,Pricing too high,"""Your pricing is just too steep for our budget right now."""
Contact Form,High,Competitor preference,"""We\'ve been using [Competitor Name] for years and are reluctant to switch."""
Support Note,Medium,Security concerns,"""What are your data privacy and security protocols?"""
CRM Log,Low,Pricing too high,"""The monthly subscription feels overpriced for what\'s included."""
Contact Form,Medium,Unclear value proposition,"""The benefits aren\'t clear enough for our use case."""
Support Note,Medium,Integration issues,"""We\'ve had trouble integrating similar tools in the past."""
CRM Log,Low,Complicated onboarding process,"""The setup process looks really daunting."""
Contact Form,Medium,Competitor preference,"""We\'re currently happy with [Competitor Name]."""
Contact Form,High,Security concerns,"""Is your platform compliant with [specific regulation]?"""
CRM Log,Low,Lack of features,"""It doesn\'t have X feature that we desperately need."""
Support Note,Medium,Integration issues,"""Does it integrate with our existing CRM? If not, it\'s a dealbreaker."""
Support Note,Low,Security concerns,"""Is your platform compliant with [specific regulation]?"""
Contact Form,Low,Complicated onboarding process,"""Is there a guided onboarding or training available?"""
Support Note,High,Pricing too high,"""We found a competitor with similar features at a lower cost."""
Contact Form,High,Integration issues,"""Does it integrate with our existing CRM? If not, it\'s a dealbreaker."""
CRM Log,Low,Security concerns,"""What are your data privacy and security protocols?"""
Support Note,Medium,Unclear value proposition,"""The benefits aren\'t clear enough for our use case."""
Support Note,High,Performance issues,"""How does the system handle large volumes of data?"""
Support Note,High,Lack of features,"""We\'re looking for something with more advanced analytics."""
Support Note,Medium,Security concerns,"""What are your data privacy and security protocols?"""
Support Note,Low,Performance issues,"""We\'ve experienced slowdowns with similar cloud-based solutions."""
CRM Log,Medium,Complicated onboarding process,"""The setup process looks really daunting."""
Support Note,Medium,Lack of features,"""We\'re looking for something with more advanced analytics."""
CRM Log,Low,Integration issues,"""We\'ve had trouble integrating similar tools in the past."""
Contact Form,Low,Pricing too high,"""The monthly subscription feels overpriced for what\'s included."""
Support Note,Medium,Pricing too high,"""The monthly subscription feels overpriced for what\'s included."""
CRM Log,Medium,Complicated onboarding process,"""Is there a guided onboarding or training available?"""
CRM Log,High,Performance issues,"""How does the system handle large volumes of data?"""
Contact Form,Medium,Lack of customization,"""We need more flexibility in tailoring the workflow to our operations."""
CRM Log,High,Competitor preference,"""[Competitor Name] offers a specific benefit we value highly."""
Support Note,Medium,Security concerns,"""Our legal team has strict requirements for data handling."""
CRM Log,Medium,Poor customer support,"""Getting help seems difficult once you\'re a customer."""
Support Note,High,Complicated onboarding process,"""The setup process looks really daunting."""
CRM Log,Medium,Unclear value proposition,"""The benefits aren\'t clear enough for our use case."""
CRM Log,Medium,Security concerns,"""Our legal team has strict requirements for data handling."""
Contact Form,Low,Competitor preference,"""We\'ve been using [Competitor Name] for years and are reluctant to switch."""
Contact Form,High,Pricing too high,"""We found a competitor with similar features at a lower cost."""
Support Note,Medium,Security concerns,"""What are your data privacy and security protocols?"""
CRM Log,Medium,Unclear value proposition,"""I\'m not entirely sure how this will solve our specific problem."""
Contact Form,High,Lack of customization,"""We need more flexibility in tailoring the workflow to our operations."""
Support Note,Low,Unclear value proposition,"""I\'m not entirely sure how this will solve our specific problem."""
Contact Form,Low,Lack of customization,"""We need more flexibility in tailoring the workflow to our operations."""
